date,location,src,value
2020-06-16,San Francisco,mobility_average_person,0.15
2020-06-17,San Francisco,mobility_average_person,0.413
2020-06-18,San Francisco,mobility_average_person,0.941
2020-06-19,San Francisco,mobility_average_person,1.466
2020-06-20,San Francisco,mobility_average_person,0.718
2020-06-21,San Francisco,mobility_average_person,0.136
2020-06-22,San Francisco,mobility_average_person,0.41700000000000004
2020-06-23,San Francisco,mobility_average_person,0.48700000000000004
2020-06-24,San Francisco,mobility_average_person,0.898
2020-06-25,San Francisco,mobility_average_person,0.504
2020-06-26,San Francisco,mobility_average_person,1.281
2020-06-27,San Francisco,mobility_average_person,1.31
2020-06-28,San Francisco,mobility_average_person,0.273
2020-06-29,San Francisco,mobility_average_person,0.66
2020-06-30,San Francisco,mobility_average_person,0.9440000000000001
2020-07-01,San Francisco,mobility_average_person,0.9440000000000001
2020-07-02,San Francisco,mobility_average_person,1.1640000000000001
2020-07-03,San Francisco,mobility_average_person,1.29
2020-07-04,San Francisco,mobility_average_person,0.418
2020-07-05,San Francisco,mobility_average_person,0.33399999999999996
2020-07-06,San Francisco,mobility_average_person,1.026
2020-07-07,San Francisco,mobility_average_person,0.78
2020-07-08,San Francisco,mobility_average_person,0.723
2020-07-09,San Francisco,mobility_average_person,0.8270000000000001
2020-07-10,San Francisco,mobility_average_person,0.8190000000000001
2020-07-11,San Francisco,mobility_average_person,1.0959999999999999
2020-07-12,San Francisco,mobility_average_person,0.37799999999999995
2020-07-13,San Francisco,mobility_average_person,0.446
2020-07-14,San Francisco,mobility_average_person,0.5589999999999999
2020-07-15,San Francisco,mobility_average_person,0.382
2020-07-16,San Francisco,mobility_average_person,0.47700000000000004
2020-07-17,San Francisco,mobility_average_person,0.41700000000000004
2020-07-18,San Francisco,mobility_average_person,0.163
2020-07-19,San Francisco,mobility_average_person,0.29
2020-07-20,San Francisco,mobility_average_person,0.29600000000000004
2020-07-21,San Francisco,mobility_average_person,0.336
2020-07-22,San Francisco,mobility_average_person,0.424
2020-07-23,San Francisco,mobility_average_person,0.327
2020-07-24,San Francisco,mobility_average_person,0.645
2020-07-25,San Francisco,mobility_average_person,0.396
2020-07-26,San Francisco,mobility_average_person,0.111
2020-07-27,San Francisco,mobility_average_person,0.392
2020-07-28,San Francisco,mobility_average_person,0.41700000000000004
2020-07-29,San Francisco,mobility_average_person,0.461
2020-07-30,San Francisco,mobility_average_person,0.45399999999999996
2020-07-31,San Francisco,mobility_average_person,0.907
2020-08-01,San Francisco,mobility_average_person,0.6809999999999999
2020-08-02,San Francisco,mobility_average_person,0.073
2020-08-03,San Francisco,mobility_average_person,0.48100000000000004
2020-08-04,San Francisco,mobility_average_person,0.494
2020-08-05,San Francisco,mobility_average_person,0.65
2020-08-06,San Francisco,mobility_average_person,0.584
2020-08-07,San Francisco,mobility_average_person,0.7609999999999999
2020-08-08,San Francisco,mobility_average_person,0.8
2020-08-09,San Francisco,mobility_average_person,0.245
2020-08-10,San Francisco,mobility_average_person,0.389
2020-08-11,San Francisco,mobility_average_person,0.5379999999999999
2020-08-12,San Francisco,mobility_average_person,0.597
2020-08-13,San Francisco,mobility_average_person,0.7020000000000001
2020-08-14,San Francisco,mobility_average_person,0.852
2020-08-15,San Francisco,mobility_average_person,1.011
2020-08-16,San Francisco,mobility_average_person,0.068
2020-08-17,San Francisco,mobility_average_person,0.33
2020-08-18,San Francisco,mobility_average_person,0.7559999999999999
2020-08-19,San Francisco,mobility_average_person,0.4270000000000001
2020-08-20,San Francisco,mobility_average_person,0.622
2020-08-21,San Francisco,mobility_average_person,1.114
2020-08-22,San Francisco,mobility_average_person,0.907
2020-08-23,San Francisco,mobility_average_person,0.228
2020-08-24,San Francisco,mobility_average_person,0.583
2020-08-25,San Francisco,mobility_average_person,0.603
2020-08-26,San Francisco,mobility_average_person,0.41200000000000003
2020-08-27,San Francisco,mobility_average_person,0.672
2020-08-28,San Francisco,mobility_average_person,0.917
2020-08-29,San Francisco,mobility_average_person,1.107
2020-08-30,San Francisco,mobility_average_person,0.184
2020-08-31,San Francisco,mobility_average_person,0.575
2020-09-01,San Francisco,mobility_average_person,0.8270000000000001
2020-09-02,San Francisco,mobility_average_person,0.9640000000000001
2020-09-03,San Francisco,mobility_average_person,0.878
2020-09-04,San Francisco,mobility_average_person,1.287
2020-09-05,San Francisco,mobility_average_person,1.075
2020-09-06,San Francisco,mobility_average_person,1.041
2020-09-07,San Francisco,mobility_average_person,0.475
2020-09-08,San Francisco,mobility_average_person,0.611
2020-09-09,San Francisco,mobility_average_person,0.6629999999999999
2020-09-10,San Francisco,mobility_average_person,0.536
2020-09-11,San Francisco,mobility_average_person,0.71
2020-09-12,San Francisco,mobility_average_person,0.629
2020-09-13,San Francisco,mobility_average_person,0.172
2020-09-14,San Francisco,mobility_average_person,0.767
2020-09-15,San Francisco,mobility_average_person,0.5870000000000001
2020-09-16,San Francisco,mobility_average_person,1.018
2020-09-17,San Francisco,mobility_average_person,0.9179999999999999
2020-09-18,San Francisco,mobility_average_person,1.518
2020-09-19,San Francisco,mobility_average_person,1.396
2020-09-20,San Francisco,mobility_average_person,0.7759999999999999
2020-09-21,San Francisco,mobility_average_person,0.828
2020-09-22,San Francisco,mobility_average_person,0.5539999999999999
2020-09-23,San Francisco,mobility_average_person,0.841
2020-09-24,San Francisco,mobility_average_person,0.9129999999999999
2020-09-25,San Francisco,mobility_average_person,1.6119999999999999
2020-09-26,San Francisco,mobility_average_person,1.473
