i,ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code,transactions_
102,lJAGnYzku5zSaLnQ_T6_GQ,Brenda's French Soul Food,4.0,11052,$$,['delivery'],False,"Breakfast & Brunch, Southern, Cajun/Creole","breakfast_brunch, southern, cajun",37.7829016035273,-122.419043442957,US,CA,San Francisco,94102,['delivery']
103,kn782Mw92uchlBI2CyosOQ,Tokyo Hot Chicken San Francisco,4.0,21,,"['delivery', 'pickup']",False,Chicken Shop,chickenshop,37.792886,-122.397979,US,CA,San Francisco,94111,"['delivery', 'pickup']"
104,AMhxom9yhQjTkFRMTKk_IA,WingSlut,4.5,6,,[],False,"Chicken Wings, Fast Food, Asian Fusion","chicken_wings, hotdogs, asianfusion",37.776775,-122.416414,US,CA,San Francisco,94103,
105,vmZ-bgnM5B76NUpegAjy1g,Hotbird,4.5,129,,[],False,"Sandwiches, Chicken Shop, Burgers","sandwiches, chickenshop, burgers",37.7768004184036,-122.416263845447,US,CA,San Francisco,94103,
106,lQv-kAI-ZOMPSJj909I1JQ,Sunset Slurps,4.5,26,,[],False,Comfort Food,comfortfood,37.773658,-122.416093,US,CA,San Francisco,94103,
107,uEeWn6sPq-giWvfE9uhQ7A,Dottie's True Blue Cafe,4.0,4533,$$,"['delivery', 'pickup']",False,"American (Traditional), Breakfast & Brunch, Cafes","tradamerican, breakfast_brunch, cafes",37.7817050429594,-122.409839630127,US,CA,San Francisco,94103,"['delivery', 'pickup']"
108,O1sRAas2IZQKYVSNZeBagQ,Cracked & Battered - Potrero Hill,4.5,845,$$,"['delivery', 'pickup']",False,"Breakfast & Brunch, American (Traditional), Halal","breakfast_brunch, tradamerican, halal",37.76266,-122.39719,US,CA,San Francisco,94107,"['delivery', 'pickup']"
109,Xg-FyjVKAN70LO4u4Z1ozg,Hog Island Oyster Co,4.5,6090,$$,[],False,"Seafood, Seafood Markets, Live/Raw Food","seafood, seafoodmarkets, raw_food",37.795831,-122.393303,US,CA,San Francisco,94111,
110,XQLmEdXoMzOpffwoFaBtaQ,Kitchen Story,4.0,3433,$$,"['restaurant_reservation', 'delivery', 'pickup']",False,"Breakfast & Brunch, Asian Fusion, American (New)","breakfast_brunch, asianfusion, newamerican",37.7642352,-122.4306936,US,CA,San Francisco,94114,"['restaurant_reservation', 'delivery', 'pickup']"
111,i0MC3P4XCvjtPNXiOyRXvw,El Capitan Taqueria,5.0,3,,"['delivery', 'pickup']",False,Mexican,mexican,37.768129,-122.42462,US,CA,San Francisco,94103,"['delivery', 'pickup']"
112,RTMeCUm9y6Lsz6TGGERPGg,Flour & Water Pasta Shop,5.0,1,,[],False,"Salad, Pasta Shops, Sandwiches","salad, pastashops, sandwiches",37.759246,-122.411045,US,CA,San Francisco,94110,
113,VPXezwmTETrwitrzj9BZPA,Dumpling Time,4.0,2001,$$,"['delivery', 'pickup']",False,"Dim Sum, Asian Fusion","dimsum, asianfusion",37.7697533,-122.4022546,US,CA,San Francisco,94103,"['delivery', 'pickup']"
114,-DrR38H1Abk0wCyu9XOLug,Sweet Maple,4.5,3815,$$,"['delivery', 'pickup']",False,"American (Traditional), Breakfast & Brunch, Burgers","tradamerican, breakfast_brunch, burgers",37.785735681426,-122.43507770852,US,CA,San Francisco,94115,"['delivery', 'pickup']"
115,6U51i7YFYecl8Ong_Aq1hQ,RAVISHSF,5.0,1,,[],False,American (New),newamerican,37.772878,-122.409926,US,CA,San Francisco,94103,
