ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code
iyo3pjuRb7mTpaDwXnAzuQ,Square Pie Guys,4.5,351,$$,"['pickup', 'delivery']",False,Pizza,pizza,37.779479,-122.4103136,US,CA,San Francisco,94103
lQv-kAI-ZOMPSJj909I1JQ,Sunset Slurps,4.5,29,,,False,"Vietnamese, Noodles, Soup","vietnamese, noodles, soup",37.773658,-122.416093,US,CA,San Francisco,94103
AMhxom9yhQjTkFRMTKk_IA,WingSlut,4.5,11,,,False,"Chicken Wings, Fast Food, Asian Fusion","chicken_wings, hotdogs, asianfusion",37.776775,-122.416414,US,CA,San Francisco,94103
GjIO1jUDyaRwV0nS7WfQ7Q,Bellota,4.0,644,$$$,['delivery'],False,"Spanish, Seafood, Tapas Bars","spanish, seafood, tapas",37.772,-122.40526,US,CA,San Francisco,94103
XhJ6ZYagcWNHpJ1H1KvNlQ,a Mano,4.0,965,$$,['delivery'],False,"Italian, Cocktail Bars, Pizza","italian, cocktailbars, pizza",37.776963880538,-122.423868469312,US,CA,San Francisco,94102
kiRsScNQs_UdDV6jPyeCWg,Petit Crenn,4.0,436,$$$$,,False,French,french,37.7762604,-122.4264908,US,CA,San Francisco,94102
qPTvIlJ5NSW23KjjtHltPQ,The Little Chihuahua,3.5,61,,,False,Mexican,mexican,37.7902325921,-122.420717778,US,CA,San Francisco,94109
lbZj8kCKlfZm3BmvPxzXvA,ChiliCali,5.0,18,,,False,"Pop-Up Restaurants, Caterers, Indonesian","popuprestaurants, catering, indonesian",37.7770186,-122.416524,US,CA,San Francisco,94103
cCVR9W_L2rqexfKAjfBTzQ,Routier,5.0,15,,,False,French,french,37.78789,-122.440595,US,CA,San Francisco,94115
2H4HtGBwT8KRfUuWmE3uAg,Bota Tapas & Paella Bar,4.0,287,$$$,"['restaurant_reservation', 'pickup', 'delivery']",False,"Spanish, Seafood, Tapas/Small Plates","spanish, seafood, tapasmallplates",37.786985807903,-122.411396958251,US,CA,San Francisco,94102
IrfmgL_zZk3T_G8OzWoqMw,Tripleta,4.5,13,,,False,"Puerto Rican, Sandwiches","puertorican, sandwiches",37.761695,-122.424087,US,CA,San Francisco,94110
TIvMX0RWgx15o5zwfWe2Pw,Schlok’s,4.5,3,,,False,"Pop-Up Restaurants, Bagels","popuprestaurants, bagels",37.790938,-122.434436,US,CA,San Francisco,94115
_1pt3zjz2Om9QC3OUSuTtA,Mahila,4.0,156,$$,"['delivery', 'pickup', 'restaurant_reservation']",False,Malaysian,malaysian,37.750925,-122.4342714,US,CA,San Francisco,94114
-c4PVZ6ceySFd4DiVAuoBQ,Little Original Joe's,4.0,37,,,False,"Pizza, Italian, Beer, Wine & Spirits","pizza, italian, beer_and_wine",37.736583,-122.470316,US,CA,San Francisco,94127
kFgjHGp-cTUK5uPaSJOORA,Souvla,4.0,1418,$$,['delivery'],False,"Greek, Mediterranean","greek, mediterranean",37.77643,-122.425,US,CA,San Francisco,94102
SxHKYiRVnMd9BnTEaEB-FA,Chic n' Time,5.0,4,,"['delivery', 'pickup']",False,"Chicken Shop, Noodles, Asian Fusion","chickenshop, noodles, asianfusion",37.759907,-122.421268,US,CA,San Francisco,94110
cCVR9W_L2rqexfKAjfBTzQ,Routier,5.0,15,,,False,French,french,37.78789,-122.440595,US,CA,San Francisco,94115
eYXwVR4mMAjzkJnm5wneHQ,Burma Superstar,4.0,6846,$$,"['delivery', 'pickup']",False,Burmese,burmese,37.782787322998,-122.462539672852,US,CA,San Francisco,94118
wdqRLypbCo7KCyhLNB8mIQ,Souvla,4.0,465,$$,['delivery'],False,"Mediterranean, Greek","mediterranean, greek",37.7744799,-122.43802,US,CA,San Francisco,94117
L1JU0hDv1k2Od3s9Glp-IQ,Dumpling Baby China Bistro,4.5,76,,,False,"Chinese, Asian Fusion","chinese, asianfusion",37.781031,-122.459886,US,CA,San Francisco,94118
d5752S_RDb26HxoL6O06eQ,Beit Rima,4.5,68,$$,,False,"Arabian, Mediterranean, Lebanese","arabian, mediterranean, lebanese",37.765956,-122.449679,US,CA,San Francisco,94117
pgjbSwK_8DH2o_zQsr3dRQ,AshYan's Lu Ruo Fan,5.0,4,,,False,"Taiwanese, Food Delivery Services","taiwanese, fooddeliveryservices",37.77713,-122.41964,US,CA,San Francisco,
LsGkxQK217twdzZzVXsSRg,CreoLa,4.5,56,,"['delivery', 'restaurant_reservation']",False,"Bars, Seafood, Cajun/Creole","bars, seafood, cajun",37.7662642,-122.4527631,US,CA,San Francisco,94117
kOYj2sGMZnyC1lU-_Uw5fA,Cha Cha Cha,4.0,3218,$$,['delivery'],False,"Caribbean, Cuban, Tapas Bars","caribbean, cuban, tapas",37.7691434,-122.4520399,US,CA,San Francisco,94117
sJrlDmxVymCJ6AMS1GzBrg,Ken,5.0,3,,,False,"Japanese, Sushi Bars","japanese, sushi",37.77152,-122.43688,US,CA,San Francisco,94117
M0JTO3oyu6gxh1mfFjU-dA,San Tung,4.0,7054,$$,['delivery'],False,"Chinese, Chicken Wings, Noodles","chinese, chicken_wings, noodles",37.763693,-122.469008,US,CA,San Francisco,94122
